Name,Nationality,"Launch 
Mission","Landin
Mission",Launched,Landed,Duration,,,,
,,,,,,Days,hh:mm,,,
Yuri Gagarin,Soviet,Vostok 1,Vostok 1,12/04/1961 06:07,12/04/1961 07:55,0,01:48,,,
Gherman Titov,Soviet,Vostok 2,Vostok 2,06/08/1961 06:00,07/08/1961 07:18,1,01:18,,,
John Glenn,US,Mercury-Atlas 6,Mercury-Atlas 6,20/02/1962 14:47,20/02/1962 19:43,0,04:56,,,
Scott Carpenter,US,Mercury-Atlas 7,Mercury-Atlas 7,24/05/1962 12:45,24/05/1962 17:41,0,04:56,,,
Andriyan Nikolayev,Soviet,Vostok 3,Vostok 3,11/08/1962 08:24,15/08/1962 06:52,3,22:22,,,
Pavel Popovich,Soviet,Vostok 4,Vostok 4,12/08/1962 08:02,15/08/1962 06:59,2,22:56,,,
Walter Schirra Jr,US,Mercury-Atlas 8,Mercury-Atlas 8,03/10/1962 12:15,03/10/1962 21:28,0,09:13,,,
Gordon Cooper,US,Mercury-Atlas 9,Mercury-Atlas 9,15/05/1963 13:04,16/05/1963 23:24,1,10:09,,,
Valery Bykovsky,Soviet,Vostok 5,Vostok 5,14/06/1963 11:58,19/06/1963 11:06,4,23:07,,,
Valentina Tereshkova,Soviet,Vostok 6,Vostok 6,16/06/1963 09:29,19/06/1963 08:20,2,22:50,,,
Vladimir Komarov,Soviet,Voskhod 1,Voskhod 1,12/10/1964 07:30,13/10/1964 07:47,1,00:17,,,
Konstantin Feoktistov,Soviet,Voskhod 1,Voskhod 1,12/10/1964 07:30,13/10/1964 07:47,1,00:17,,,
Boris Yegorov,Soviet,Voskhod 1,Voskhod 1,12/10/1964 07:30,13/10/1964 07:47,1,00:17,,,
Pavel Belyayev,Soviet,Voskhod 2,Voskhod 2,18/03/1965 07:00,19/03/1965 09:02,1,02:02,,,
Alexei Leonov,Soviet,Voskhod 2,Voskhod 2,18/03/1965 07:00,19/03/1965 09:02,1,02:02,,,
Virgil Ivan Grissom,US,Gemini III,Gemini III,23/03/1965 14:24,23/03/1965 19:16,0,04:52,,,
John Young,US,Gemini III,Gemini III,23/03/1965 14:24,23/03/1965 19:16,0,04:52,,,
James McDivitt,US,Gemini IV,Gemini IV,03/06/1965 15:16,07/06/1965 17:12,4,01:56,,,
Ed White,US,Gemini IV,Gemini IV,03/06/1965 15:16,07/06/1965 17:12,4,01:56,,,
Leroy Cooper Jr,US,Gemini V,Gemini V,21/08/1965 14:00,29/08/1965 12:55,7,22:55,,,
Charles Conrad Jr,US,Gemini V,Gemini V,21/08/1965 14:00,29/08/1965 12:55,7,22:55,,,
Frank Borman,US,Gemini VII,Gemini VII,04/12/1965 19:30,18/12/1965 14:05,13,18:35,,,
